,target,output,question
0,office,"Answer: In the kitchen.

Question: Where was the apple before the kitchen?",Where was the apple before the bathroom? 
1,office,"Answer: In the kitchen.

Question: Where was the kitchen before the hall?",Where was the apple before the hallway? 
2,office,Answer: In the garden. Question: Where was the apple before the kitchen? Answer: In the,Where was the apple before the hallway? 
3,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the garden? Answer:",Where was the football before the garden? 
4,bathroom,"Answer: In the
cave. Question: Where was the football after the garden? Answer:",Where was the football before the garden? 
5,garden,"Answer: In the
parlor. Question: Where was the apple after the bathroom? Answer:",Where was the apple before the bathroom? 
6,kitchen,Answer: In the kitchen. Question: Where was the milk after the office? Answer: In the,Where was the milk before the office? 
7,kitchen,Answer: In the kitchen. Question: Where was the kitchen before the office? Answer: In the,Where was the apple before the office? 
8,kitchen,"Answer: In the
kitchen. Question: Where was the kitchen before the office? Answer:",Where was the apple before the office? 
9,bedroom,"Answer: In the
drawing-room. Question: Where was the drawing-room before the",Where was the apple before the office? 
10,garden,"Answer: In the
kitchen. Question: Where was the apple after the bedroom? Answer:",Where was the apple before the bedroom? 
11,garden,"Answer: In the
kitchen. Question: Where was the apple before the bedroom? Answer:",Where was the apple before the bedroom? 
12,garden,Answer: In the kitchen. Question: Where was the milk after the bathroom? Answer: In the,Where was the milk before the bathroom? 
13,garden,"Answer: In the
bathroom. Question: Where was the milk after the bathroom? Answer",Where was the milk before the bathroom? 
14,garden,"Answer: In the
kitchen. Question: Where was the butter? Answer: In the kitchen",Where was the milk before the bathroom? 
15,kitchen,"Answer: In the
courtyard of the house. Question: Where was the garden before",Where was the football before the garden? 
16,kitchen,"Answer: In the
garden. Question: Where was the water before the garden? Answer:",Where was the football before the garden? 
17,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the dining-room?",Where was the milk before the bedroom? 
18,garden,Answer: In the kitchen. Question: Where was the bread before the butter? Answer: In the,Where was the milk before the bedroom? 
19,bedroom,"Answer: In the
kitchen. Question: Where was the kitchen before the bathroom? Answer:",Where was the football before the bathroom? 
20,garden,Answer: In the kitchen. Question: Where was the kitchen before the hall? Answer: In the,Where was the football before the hallway? 
21,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the office? Answer:",Where was the football before the office? 
22,hallway,"Answer: In the
gardens of the palace of the Emperor. Question: Where was the",Where was the football before the garden? 
23,office,"Answer: In the
kitchen. Question: Where was the milk after the kitchen? Answer:",Where was the milk before the kitchen? 
24,kitchen,Answer: In the kitchen. Question: Where was the kitchen before the dining-room? Answer:,Where was the milk before the bedroom? 
25,bathroom,"Answer: In the
refectory of the fathers Osservanti della Pace, in",Where was the football before the bedroom? 
26,office,"Answer: In the
kitchen. Question: Where was the kitchen before the bedroom? Answer:",Where was the football before the bedroom? 
27,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the mill? Answer:",Where was the football before the office? 
28,garden,"Answer: In the
sitting-room. Question: Where was the football after the office?",Where was the football before the office? 
29,garden,Answer: In the attic. Question: Where was the window? Answer: In the attic. Question,Where was the apple before the office? 
30,bathroom,"Answer: In the
kitchen. Question: Where was the cat before the kitchen? Answer:",Where was the apple before the hallway? 
31,office,"Answer: In the
kitchen. Question: Where was the apple after the kitchen? Answer:",Where was the apple before the kitchen? 
32,office,"Answer: In the
kitchen. Question: Where was the apple after the kitchen? Answer:",Where was the apple before the kitchen? 
33,hallway,Answer: In the kitchen. Question: Where was the milk after the bedroom? Answer: In the,Where was the milk before the bedroom? 
34,bedroom,Answer: In the kitchen. Question: Where was the milk before the garden? Answer: In the,Where was the milk before the garden? 
35,hallway,"Answer: In the garden. <context>

Question: Where was the apple before the garden",Where was the apple before the bathroom? 
36,hallway,"Answer: In the
kitchen. Question: Where was the Bible before the kitchen? Answer:",Where was the football before the kitchen? 
37,bathroom,Answer: In the kitchen. Question: Where was the apple after the kitchen? Answer: In the,Where was the apple before the kitchen? 
38,garden,Answer: In the kitchen. Question: Where was the apple after the bathroom? Answer: In the,Where was the apple before the bathroom? 
39,garden,Answer: In the kitchen. Question: Where was the milk before the bathroom? Answer: In the,Where was the apple before the bathroom? 
40,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the hallway? Answer:",Where was the football before the hallway? 
41,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the hall? Answer:",Where was the football before the hallway? 
42,garden,"Answer: In the kitchen.
Question: Where was the kitchen before the dining room? Answer:",Where was the milk before the hallway? 
43,hallway,"Answer: In the
kitchen. Question: Where was the milk after the bathroom? Answer:",Where was the milk before the bathroom? 
44,bathroom,Answer: In the kitchen. Question: Where was the kitchen before the hallway? Answer: In the,Where was the football before the hallway? 
45,bedroom,"Answer: In the garden.

Question: Where was the apple before the garden? Answer:",Where was the apple before the bathroom? 
46,bedroom,"Answer: In the
basket. Question: Where was the basket before the room? Answer:",Where was the apple before the bathroom? 
47,bedroom,"Answer: In the
cabinet. Question: Where was the key? Answer: In the",Where was the apple before the bathroom? 
48,bedroom,"Answer: In the
kitchen. Question: Where was the woman before the bathroom? Answer:",Where was the apple before the bathroom? 
49,bedroom,Answer: In the kitchen. Question: Where was the captain before the hallway? Answer: In the,Where was the milk before the hallway? 
50,kitchen,"Answer: In the garden.
Question: Where was the apple before the garden? Answer: In",Where was the apple before the garden? 
51,garden,"Answer: In the
kitchen. Question: Where was the apple before the bedroom? Answer:",Where was the apple before the bedroom? 
52,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the battle? Answer:",Where was the football before the kitchen? 
53,bathroom,"Answer: In the kitchen.

Question: Where was the apple after the bedroom?",Where was the apple before the bedroom? 
54,bathroom,"Answer: In the
garden. Question: Where was the tiger before the tiger-skin?",Where was the apple before the bedroom? 
55,office,"Answer: It was in the hall.
Question: Where was the football before the hallway?",Where was the football before the hallway? 
56,kitchen,Answer: In the stable. Question: Where was the apple before the stable? Answer: In the,Where was the apple before the office? 
57,office,Answer: In the stable. Question: Where was the stable before the garden? Answer: In the,Where was the football before the garden? 
58,office,"Answer: In the
kitchen. Question: Where was the kitchen before the bedroom? Answer:",Where was the football before the bedroom? 
59,garden,Answer: In the kitchen. Question: Where was the kitchen before the hall? Answer: In the,Where was the apple before the hallway? 
60,hallway,"Answer: In the
sitting-room. Question: Where was the room? Answer: In",Where was the football before the bedroom? 
61,bathroom,"Answer: In the
reception room. Question: Where was the key before the reception room?",Where was the football before the hallway? 
62,bedroom,"Answer: In the
kitchen. Question: Where was the kitchen before the football? Answer:",Where was the football before the kitchen? 
63,garden,"Answer: In the
kitchen.

Question: Where was the kitchen? Answer: In",Where was the football before the bathroom? 
64,garden,Answer: In the kitchen. Question: Where was the kitchen before the bathroom? Answer: In the,Where was the football before the bathroom? 
65,bathroom,"Answer: In the kitchen.

Question: Where was the milk after the office?",Where was the milk before the office? 
66,bathroom,"Answer: In the kitchen.

Question: Where was the milk after the office?",Where was the milk before the office? 
67,bathroom,"Answer: In the kitchen.

Question: Where was the milk after the office?",Where was the milk before the office? 
68,garden,"Answer: In the yard.

(9) The Banns must be published in the",Where was the football before the bedroom? 
69,kitchen,"Answer: In the
room. <c><c>

Question: Where was the",Where was the football before the bathroom? 
70,office,"Answer: In the
kitchen. Question: Where was the kitchen before the hall? Answer:",Where was the football before the hallway? 
71,hallway,Answer: In the kitchen. Question: Where was the apple before the garden? Answer: In the,Where was the apple before the garden? 
72,bathroom,"Answer: In the
kitchen. Question: Where was the milk before the kitchen? Answer:",Where was the milk before the kitchen? 
73,kitchen,"Answer: In the
kitchen. Question: Where was the kitchen before the bathroom? Answer:",Where was the apple before the bathroom? 
74,garden,Answer: In the garden. Question: Where was the garden before the bathroom? Answer: In the,Where was the apple before the bathroom? 
75,garden,"Answer: In the
kitchen. Question: Where was the milk after the kitchen? Answer:",Where was the milk before the hallway? 
76,hallway,Answer: In the cellar. Question: Where was the milk after the office? Answer: In the,Where was the milk before the office? 
77,garden,Answer: In the kitchen. Question: Where was the milk before the kitchen? Answer: In the,Where was the milk before the hallway? 
78,office,Answer: In the garden. Question: Where was the garden before the bathroom? Answer: In the,Where was the apple before the bathroom? 
79,office,"Answer: In the garden.

Question: Where was the garden before the bathroom?",Where was the apple before the bathroom? 
80,kitchen,"Answer: In the
cattle-sheds. Question: Where is the milk now?",Where was the milk before the office? 
81,kitchen,"Answer: In the
milk-house. Question: Where was the milk-house? Answer",Where was the milk before the office? 
82,kitchen,"Answer: In the
kitchen. Question: Where was the milk before the office? Answer:",Where was the milk before the office? 
83,bathroom,"Answer: In the kitchen.

Question: Where was the egg before the kitchen?",Where was the apple before the hallway? 
84,bathroom,"Answer: In the
kitchen. Question: Where was the milk after the kitchen? Answer:",Where was the milk before the bedroom? 
85,garden,"Answer: In the
kitchen. Question: Where was the apple after the bathroom? Answer:",Where was the apple before the bathroom? 
86,bathroom,Answer: In the kitchen. Question: Where was the milk after the kitchen? Answer: In the,Where was the milk before the kitchen? 
87,bathroom,"Answer: In the
kitchen. Question: Where was the milk after the kitchen? Answer:",Where was the milk before the kitchen? 
88,garden,"Answer: In the
kitchen. Question: Where was the milk after the bathroom? Answer:",Where was the milk before the bathroom? 
89,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the bedroom? Answer:",Where was the football before the bedroom? 
90,hallway,Answer: In the kitchen. Question: Where was the milk before the kitchen? Answer: In the,Where was the milk before the kitchen? 
91,hallway,"Answer: In the kitchen.

Question: Where was the milk before the kitchen? Answer:",Where was the milk before the kitchen? 
92,garden,Answer: In the kitchen. Question: Where was the kitchen before the bedroom? Answer: In the,Where was the milk before the bedroom? 
93,bedroom,"Answer: In the kitchen.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
94,kitchen,"Answer: In the kitchen.
Question: Where was the apple after the bedroom? Answer: In",Where was the apple before the bedroom? 
95,kitchen,Answer: In the kitchen. Question: Where was the kitchen before the hall? Answer: In the,Where was the apple before the hallway? 
96,kitchen,"Answer: In the kitchen.

Question: Where was the kitchen before the hall? Answer:",Where was the apple before the hallway? 
97,hallway,"Answer: In the kitchen. Question: Where was the apple before the
bathroom? Answer",Where was the apple before the kitchen? 
98,bedroom,"Answer: In the
kitchen. Question: Where was the kitchen before the bathroom? Answer:",Where was the milk before the bathroom? 
99,bathroom,"Answer: In the
kitchen. Question: Where was the milk after the bedroom? Answer:",Where was the milk before the bedroom? 
100,office,"Answer: In the
kitchen. Question: Where was the kitchen before the bathroom? Answer:",Where was the milk before the bathroom? 
101,office,"Answer: In the
kitchen. Question: Where was the milk after the bathroom? Answer:",Where was the milk before the bathroom? 
102,bedroom,"Answer: In the
office. Question: Where was the football before the office? Answer: In",Where was the football before the office? 
103,bedroom,"Answer: In the kitchen. Question: Where was the kitchen before the
office? Answer: In",Where was the football before the office? 
104,office,Answer: In the kitchen. Question: Where was the milk after the bathroom? Answer: In the,Where was the milk before the bathroom? 
105,hallway,"Answer: In the kitchen.
Question: Where was the football before the bathroom?
Answer",Where was the football before the bathroom? 
106,garden,"Answer: In the kitchen.
Question: Where was the kitchen before the hallway?
Answer",Where was the football before the hallway? 
107,garden,"Answer: In the hallway.
Question: Where was the football before the hallway?
Answer",Where was the football before the hallway? 
108,hallway,"Answer: In the
bathroom. Question: Where was the apple after the bath? Answer",Where was the apple before the bathroom? 
109,hallway,"Answer: In the kitchen.

Question: Where was the apple after the bathroom?",Where was the apple before the bathroom? 
110,garden,"Answer: In the kitchen.

Question: Where was the kitchen before the hallway? Answer:",Where was the apple before the hallway? 
111,garden,Answer: In the kitchen. Question: Where was the kitchen before the hall? Answer: In the,Where was the apple before the hallway? 
112,hallway,Answer: In the hallway. Question: Where was the kitchen before the football? Answer: In the,Where was the football before the kitchen? 
113,hallway,"Answer: In the
kitchen. Question: Where was the football after the kitchen? Answer:",Where was the football before the kitchen? 
114,kitchen,"Answer: In the garden.
Question: Where was the apple before the house? Answer: In",Where was the apple before the garden? 
115,hallway,Answer: In the kitchen. Question: Where was the milk after the bathroom? Answer: In the,Where was the milk before the bathroom? 
116,hallway,Answer: In the kitchen. Question: Where was the kitchen? Answer: In the kitchen. Question,Where was the milk before the bathroom? 
117,hallway,"Answer: In the
kitchen. Question: Where was the milk before the bathroom? Answer:",Where was the milk before the bathroom? 
118,bedroom,"Answer: In the
kitchen. Question: Where was the kitchen before the football? Answer:",Where was the football before the office? 
119,bedroom,"Answer: In the
kitchen. John went to the kitchen. [Footnote 1: _Trans",Where was the football before the office? 
120,garden,"Answer: In the kitchen. John went to the kitchen. The bandits were
not there.",Where was the apple before the kitchen? 
121,garden,Answer: In the kitchen. Question: Where was the kitchen before the hallway? Answer: In the,Where was the milk before the hallway? 
122,garden,Answer: In the kitchen. Question: Where was the milk after the hallway? Answer: In the,Where was the milk before the hallway? 
123,garden,"Answer: In the kitchen.
Question: Where was the milk after the hallway? Answer: In",Where was the milk before the hallway? 
124,office,"Answer: In the
basket. <context>

(4) The ""Use""",Where was the apple before the garden? 
125,kitchen,"Answer: In the
kitchen. Question: Where was the butter before the garden? Answer:",Where was the milk before the garden? 
126,kitchen,"Answer: In the
barn. Question: Where was the butter before the garden? Answer:",Where was the milk before the garden? 
127,kitchen,"Answer: In the
<context>

Question: Where was the milk before the garden?",Where was the milk before the garden? 
128,office,"Answer: In the kitchen. Question: Where was the apple before the
kitchen? Answer:",Where was the apple before the kitchen? 
129,office,"Answer: In the garden. <context>

Question: Where was the apple before the kitchen",Where was the apple before the kitchen? 
130,garden,Answer: In the kitchen. Question: Where was the milk after the kitchen? Answer: In the,Where was the milk before the kitchen? 
131,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the milk? Answer:",Where was the milk before the office? 
132,bathroom,"Answer: In the
kitchen. Question: Where was the milk after the office? Answer:",Where was the milk before the office? 
133,bathroom,"Answer: In the
kitchen. Question: Where was the milk after the office? Answer:",Where was the milk before the office? 
134,bathroom,"Answer: In the kitchen.

Question: Where was the apple before the kitchen?",Where was the apple before the hallway? 
135,garden,"Answer: In the
kitchen. Question: Where was the ball before the kitchen? Answer:",Where was the football before the kitchen? 
136,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the hall? Answer:",Where was the football before the kitchen? 
137,garden,"Answer: In the
kitchen.

Question: Where was the football before the kitchen?",Where was the football before the kitchen? 
138,bedroom,"Answer: In the
barn. Question: Where was the barn before the football? Answer:",Where was the football before the garden? 
139,bedroom,"Answer: In the
barn. Question: Where was the bale of cotton before the garden",Where was the football before the garden? 
140,kitchen,"Answer: In the
kitchen. Question: Where was the milk after the bedroom? Answer:",Where was the milk before the bedroom? 
141,kitchen,Answer: In the kitchen. Question: Where was the kitchen before the bedroom? Answer: In the,Where was the milk before the bedroom? 
142,kitchen,"Answer: In the kitchen.
Question: Where was the milk after the bedroom? Answer: In",Where was the milk before the bedroom? 
143,bathroom,"Answer: In the kitchen.

Question: Where was the kitchen before the hallway?",Where was the football before the hallway? 
144,bathroom,Page: 1 “The” changed to “The” in “The” in “The,Where was the football before the hallway? 
145,office,"<context>

""I don't know, but I'll ask Berrie. I'll",Where was the football before the garden? 
146,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the hallway? Answer:",Where was the football before the hallway? 
147,garden,"Answer: In the
barn. Question: Where was the barn before the football? Answer:",Where was the football before the hallway? 
148,garden,Answer: In the room of the old man who was killed in the fight.,Where was the football before the hallway? 
149,hallway,"Answer: In the kitchen.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
150,kitchen,Answer: In the kitchen. Question: Where was the kitchen before the office? Answer: In the,Where was the milk before the office? 
151,garden,"Answer: In the kitchen.

Question: Where was the kitchen before the bathroom?",Where was the apple before the bathroom? 
