,target,output,question
0,football,P. S. P. S. P. S. P. S. P.,What did Fred give to Jeff? 
1,Fred,"""Triton"" and ""Triton"" are two of the most popular names in the",Who gave the football to Jeff? 
2,football,"Answer: ""I don't know,"" she said, ""but I think he gave me",What did Fred give to Jeff? 
3,Jeff,"Answer: Fred gave it to the boys.

Question: What was Fred's opinion",Who did Fred give the football to? 
4,Fred,"Answer: The man who was in the box.




THE BOOK OF THE B",Who did Jeff give the football to? 
5,Jeff,"Answer: The Pope.

Question: Who gave the apple?

Answer:",Who gave the apple? 
6,Bill,"""I'm afraid I'm not quite so sure of that,"" she said. ""I",Who received the apple? 
7,apple,"“Redfern’s friends,” continued Mr. Havens, “were not only",What did Bill give to Fred? 
8,apple,"Answer: He gave him a horse.

[Illustration: _From a painting by",What did Bill give to Fred? 
9,Fred,"Answer: The apple-tree.

Question: Who gave the apple? Answer: The apple",Who received the apple? 
10,Mary,[1] The first edition of the book was published in 1816. The second edition,Who received the milk? 
11,milk,"Answer: ""A good horse, and a good man.""

[Illustration: """,What did Mary give to Bill? 
12,Bill,"Answer: The milk-woman.

Reuben explained that the milk-woman was",Who received the milk? 
13,Bill,"Answer: Mary gave the milk to the milk-woman.

Question: Who gave the",Who did Mary give the milk to? 
14,milk,"Answer: She gave him a horse.




CHAPTER XXVIII.

THE",What did Mary give to Bill? 
15,Jeff,"[Illustration: Fig. 1.

Fig. 2.

Fig. 3",Who received the football? 
16,Fred,"Answer: The same man who gave the football to me.

Question: Who gave",Who gave the football to Jeff? 
17,football,"Answer: He gave him a letter to the President of the United States,
which was",What did Fred give to Jeff? 
18,Jeff,"The King: The Prior of the convent.

The King: What was the",Who received the football? 
19,Mary,"""The King's own son, the King's own son, the King's own son",Who gave the milk? 
20,milk,"[Illustration: The Story of the Three Witches]

[Illustration: The Story",What did Jeff give to Mary? 
21,Mary,"Answer: “The man who was in the house.”

Question: What was the",Who gave the milk to Jeff? 
22,Mary,"Answer: The author of the first part of the first book of the first
part of",Who gave the milk to Jeff? 
23,Bill,"Answer: I don't know, sah. I don't know, sah.",Who gave the apple to Jeff? 
24,Jeff,"“to the American market, the export trade in Shire horses would be
increased",Who gave the apple? 
25,apple,"[Illustration: The following is a translation of the following poem, which
was written by",What did Jeff give to Fred? 
26,Fred,"Answer: The apple was given to the child, and the child was given to the",Who received the apple? 
27,Jeff,"Answer: The man who had the apple.

Question: What was the name of the man",Who received the apple? 
28,Jeff,"Answer: The Church.

Question: Who gave the apple?

Answer:",Who gave the apple? 
29,Fred,"THE END.




Transcriber's Notes:

Passages in italics",Who did Jeff give the apple to? 
30,Mary,"Answer: The children.

Question: Who gave the milk?

Answer:",Who gave the milk? 
31,Bill,"Answer: The milk-woman.

Question: What is the name of the milk",Who gave the milk? 
32,Bill,"Answer: The man who gave the milk to Mary.

Question: Who gave the",Who gave the milk to Mary? 
33,milk,"Coningsby was not at all surprised at the question, but he was not
sur",What did Bill give to Mary? 
34,apple,"Answer: ""A little money.""

    ""The question is, What is the use of having",What did Mary give to Fred? 
35,Jeff,"[Illustration: Fig. 1.]

[Illustration: Fig. 2.]",Who did Fred give the milk to? 
36,Jeff,"[Illustration: Fig. 10.]

[Illustration: Fig. 11.]",Who did Fred give the milk to? 
37,milk,"Answer: ""A little money.""

""What did she give you?""",What did Jeff give to Mary? 
38,milk,"Answer: ""A good many dollars.""

[Illustration: ""A good many dollars",What did Jeff give to Mary? 
39,Fred,"Answer: The man who gave it.

""I'm sorry,"" said the man",Who gave the apple? 
40,Mary,"Answer: The milkman.

Question: Who gave the butter?

Answer",Who gave the milk? 
41,milk,"A: ""A little bit of a bit of a bit of a bit of a bit",What did Mary give to Fred? 
42,Jeff,"Answer: Mr. S. B.

""I'm sorry,"" said the man",Who gave the milk? 
43,Fred,"Answer: “The Lord Chancellor.”

(50) The Lord Chancellor, who was",Who received the milk? 
44,Mary,"[87] The following is a translation of the following passage from the
_Gesta",Who gave the milk? 
45,Bill,"Answer: The woman who was the mother of Mary.

""Ah, but,""",Who did Mary give the milk to? 
46,milk,"Answer: She gave him a chicken.

Coningsby, who had been looking",What did Mary give to Bill? 
47,Mary,"Answer: The Marquess.

Question: How did you like the milk?",Who gave the milk? 
48,Mary,"Answer: The first time he saw her.

Question: What was the first time",Who did Bill give the milk to? 
49,Bill,"Answer: I did.

""I have been a fool, a wicked, a",Who gave the milk to Mary? 
50,Mary,"Answer: The priest.

Question: Who gave the apple to the nunnery",Who gave the apple to Fred? 
51,Fred,"Answer: The apple was given to her by the king.




CHAPTER XXV.",Who gave the apple to Mary? 
52,apple,"Answer: A good many things.

[Illustration: Fig. 1.",What did Fred give to Mary? 
53,apple,[1] The following is a translation of the passage in the _Gentleman's,What did Mary give to Jeff? 
54,apple,"Answer: She gave him a good dinner, and a good dinner is a good",What did Mary give to Jeff? 
55,Fred,"Answer: The boys.

Question: Who was the first to play the game?",Who received the football? 
56,football,"Answer: ""He gave him a little money, and a little money he gave him.",What did Bill give to Fred? 
57,Bill,"Answer: Rob Roy.

Question: Who gave the apple?

Answer:",Who gave the apple? 
58,Bill,"Answer: The Bishop.

The question was repeated, and the answer was: The",Who did Mary give the apple to? 
59,Jeff,"Answer: Who?

Question: Who gave the apple to the boy?",Who did Bill give the apple to? 
60,Jeff,"Answer: The first person who asked the question was the first person who
ever asked it",Who did Bill give the apple to? 
61,Bill,Answer: The Captain of the _Gurstah_ (the name of the ship,Who gave the apple to Jeff? 
62,Jeff,"Answer: The apple was given to the apple.




THE BALLAD OF THE",Who gave the apple to Bill? 
63,Bill,"Answer: The Mussulman.

Question: Who gave the apple? Answer: The",Who received the apple? 
64,Mary,"Answer: The Priest.

(5) _The Cure_.--The cure",Who gave the milk? 
65,Mary,"Answer: Bill.

Q. What was the name of the apple?
A.",Who gave the apple to Bill? 
66,Bill,"Answer: The man who was the first to
come to the rescue of the ship.",Who did Mary give the apple to? 
67,Mary,"Answer: ""The man who was in the house when the apple was given to him,",Who did Bill give the apple to? 
68,apple,"[Illustration: Fig. 1.]

[Illustration: Fig. 2.]",What did Bill give to Mary? 
69,Mary,"Answer: The Aryans.

Question: Who gave the apple to the A",Who did Bill give the apple to? 
70,apple,"Answer: The following:

“I have a letter from the King of Israel,",What did Fred give to Jeff? 
71,Jeff,"Answer: The first one.

Q. What is the name of the first one?",Who gave the football? 
72,Jeff,A. (1) The first mention of the game in the records of the Romans is,Who gave the football? 
73,apple,"Answer: ""A goodly plaid, and a goodly man.""

    """,What did Fred give to Bill? 
74,apple,"Answer: He gave him a large sum of money, and a very handsome
house,",What did Fred give to Bill? 
75,Fred,"[Sidenote: _The question is answered by the following text._]

_",Who gave the football? 
76,Fred,"Answer: The people.

Question: Who gave the money?
Answer: The people",Who gave the football? 
77,Mary,"Answer: The hawk.

""I am sorry to hear that you are not",Who received the football? 
78,Mary,"Answer: The _Cura_.

Question: Who gave the football?",Who gave the football? 
79,football,"Answer: The sum of one hundred and fifty dollars.

""The sum of one",What did Mary give to Fred? 
80,milk,"Answer: He gave him a large box of cigars, and a large box of cig",What did Fred give to Jeff? 
81,milk,"Answer: He gave him a horse.




[Illustration: THE LADY OF THE L",What did Fred give to Jeff? 
